From	To
Q9BUE6	ISCA1
Q9BUE0	MED18
Q9BUA3	SPINDOC
Q9BU89	DOHH
Q9BU76	MMTAG2
Q9BU61	NDUFAF3
Q9BU02	THTPA
Q9BTZ2	DHRS4
Q9BTY7	HGH1
Q9BTW9	TBCD
Q9BTV5	FSD1
Q9BTT0	ANP32E
Q9BTM9	URM1
Q9BTL3	RAMAC
Q9BTF0	THUMPD2
Q9BTE7	DCUN1D5
Q9BTE3	MCMBP
Q9BTE1	DCTN5
Q9BTD8	RBM42
Q9BTC8	MTA3
Q9BTC0	DIDO1
Q9BT78	COPS4
Q9BT73	PSMG3
Q9BT25	HAUS8
Q9BT17	MTG1
Q9BT09	CNPY3
Q9BSY4	CHCHD5
Q9BSL1	UBAC1
Q9BSJ8	ESYT1
Q9BSJ2	TUBGCP2
Q9BSH5	HDHD3
Q9BSH4	TACO1
Q9BSD7	NTPCR
Q9BS26	ERP44
Q9BS18	ANAPC13
Q9BS16	CENPK
Q9BRZ2	TRIM56
Q9BRX5	GINS3
Q9BRX2	PELO
Q9BRT9	GINS4
Q9BRT6	LLPH
Q9BRT3	MIEN1
Q9BRS2	RIOK1
Q9BRQ0	PYGO2
Q9BRP8	PYM1
Q9BRP1	PDCD2L
Q9BRK5	SDF4
Q9BRJ6	C7orf50
Q9BRJ2	MRPL45
Q9BRG1	VPS25
Q9BRA2	TXNDC17
Q9BRA0	NAA38
Q9BR76	CORO1B
Q9BR11	ZSWIM1
Q9BQP7	MGME1
Q9BQI3	EIF2AK1
Q9BQI0	AIF1L
Q9BQG2	NUDT12
